snapshot_id,account_id,provider,account_label,project_id,profile_url,period_label,total_views,unique_visitors,total_visits,top_pages,countries,top_page_label,top_country_label,source_url,collected_at,snapshot_date,total_views_change,unique_visitors_change,total_visits_change,latest_success,latest_event_id,latest_attempt,status,error_message,status_detail,updated_today,snapshot_age_days,value_state,collection_mode
14,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Today: 22 Jul 2026,969,211,238,[],[],,,https://app.ahrefs.com/web-analytics,2026-07-22T08:14:25-04:00,2026-07-22,-51,-29,-23,2026-07-22T08:14:25-04:00,690,2026-07-22T08:14:25-04:00,ok,,Exact source data was collected today.,True,0,current,real_chrome
6,lady-sublime-mymember,ahrefs,MyMember,10078083,https://mymember.site/lady-sublime,Live Ahrefs project review on 12 Jul 2026,,,,[],[],,,https://app.ahrefs.com/project-settings/10078083/ownership,2026-07-12T17:48:38-04:00,2026-07-12,,,,2026-07-12T17:48:38-04:00,684,2026-07-22T08:04:45-04:00,pending_setup,The source is still pending setup on 2026-07-22; the last-good value is carried forward.,The source is still pending setup on 2026-07-22; the last-good value is carried forward.,False,10,carried_forward,pending_setup
